,familyID,year,composition,headCount,ageHead,liquidWealth,laborIncome,costPerPerson,totalExpense,participation,investmentAmount,annuityIRA,wealthWithoutHomeEquity,wealthWithHomeEquity,HomeEquity,maritalStatus,employmentStatus,education,race,industry,ownership,skillLevel,financeExperience,ageGroup,decadeGroup,stockInvestmentRatio
30,193,1999,0,1,46,0.0,11.98,6.78,6.78,0,0.0,0.0,-3.29,-3.29,0.0,neverMarried,employed,postGraduate,White,noneFinance,renter,High,No,40-60,1990s,-0.0
31,1579,1999,0,4,35,1.17,74.34,8.05,32.2,0,0.0,0.0,8.22,-7.05,-15.27,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s,0.0
32,669,1999,0,4,37,14.09,66.93,6.24,24.96,1,41.1,58.71,176.14,241.89,65.76,Married,employed,postGraduate,White,noneFinance,owner,High,No,20-40,1990s,0.23333711820143072
34,3664,1999,0,4,41,1.17,42.27,5.49,21.98,0,0.0,0.0,4.7,22.31,17.61,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s,0.0
35,754,1999,1,4,40,14.09,50.49,10.76,43.05,1,4.11,22.31,49.91,85.13,35.23,Married,employed,college,Latino,noneFinance,owner,High,No,20-40,1990s,0.08234822680825488
38,4612,1999,2,2,42,5.87,29.36,9.19,18.37,1,1.17,0.0,30.53,30.53,0.0,Divorced,employed,college,White,noneFinance,renter,High,No,40-60,1990s,0.03832296102194562
39,2070,1999,1,2,45,9.39,42.27,24.25,48.5,0,0.0,93.94,1042.73,1418.48,375.76,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s,0.0
40,1548,1999,0,1,46,7.05,30.53,21.55,21.55,0,0.0,0.0,22.31,22.31,0.0,Divorced,employed,college,White,noneFinance,renter,High,No,40-60,1990s,0.0
41,1741,1999,1,4,51,0.0,61.06,12.01,48.05,0,0.0,0.0,-1.17,43.45,44.62,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s,-0.0
46,629,1999,0,1,47,0.0,7.63,9.21,9.21,0,0.0,0.0,7.05,7.05,0.0,neverMarried,unemployed,college,White,noneFinance,renter,High,No,40-60,1990s,0.0
48,3056,1999,2,3,34,0.0,55.19,7.66,22.97,0,0.0,0.0,2.94,2.94,0.0,Married,unemployed,college,Black,noneFinance,renter,High,No,20-40,1990s,0.0
49,547,1999,0,2,33,5.87,39.92,10.63,21.25,0,0.0,0.0,27.01,113.9,86.89,Divorced,employed,college,Black,finance,owner,High,Yes,20-40,1990s,0.0
50,702,1999,0,3,36,1.17,24.66,9.42,28.25,0,0.0,0.0,6.46,35.81,29.36,Married,unemployed,college,Black,noneFinance,owner,High,No,20-40,1990s,0.0
51,112,1999,0,1,48,0.15,78.09,28.27,28.27,0,0.0,0.0,4.85,10.72,5.87,Divorced,employed,postGraduate,White,finance,owner,High,Yes,40-60,1990s,0.0
55,3397,1999,1,2,52,7.05,42.98,17.25,34.5,0,0.0,9.39,29.12,123.06,93.94,Married,unemployed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.0
56,5431,1999,0,2,53,5.87,76.33,17.56,35.13,0,0.0,0.0,109.2,162.05,52.84,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.0
57,1019,1999,0,2,53,46.97,9.98,5.97,11.93,1,117.42,35.23,701.02,806.7,105.68,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.16749878748109898
58,6120,1999,3,1,32,1.17,57.27,18.69,18.69,0,0.0,0.0,3.52,3.52,0.0,Divorced,employed,college,White,noneFinance,renter,High,No,20-40,1990s,0.0
62,5428,1999,0,5,38,1.76,72.8,5.79,28.95,0,0.0,0.0,2.35,38.75,36.4,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s,0.0
63,962,1999,0,1,36,0.0,51.67,32.84,32.84,0,0.0,2.35,8.22,9.39,1.17,Separated,employed,college,White,noneFinance,owner,High,No,20-40,1990s,0.0
64,854,1999,1,5,37,0.0,21.72,5.81,29.04,0,0.0,0.0,7.05,30.53,23.48,Divorced,employed,highSchool,White,noneFinance,owner,Low,No,20-40,1990s,0.0
68,1329,1999,0,4,43,1.41,49.32,12.49,49.96,0,0.0,10.57,20.78,13.74,-7.05,Married,unemployed,highSchool,White,noneFinance,owner,Low,No,40-60,1990s,0.0
70,2478,1999,0,4,38,0.47,42.58,9.48,37.91,0,0.0,0.0,1.88,19.49,17.61,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s,0.0
71,2648,1999,0,4,39,0.0,0.0,2.37,9.5,0,0.0,0.0,3.52,3.52,0.0,Married,retired,highSchool,White,noneFinance,renter,Low,No,20-40,1990s,0.0
73,219,1999,1,2,43,0.05,27.7,13.12,26.24,0,0.0,0.0,6.21,-50.15,-56.36,Married,unemployed,highSchool,White,noneFinance,owner,Low,No,40-60,1990s,0.0
74,375,1999,0,3,44,0.0,26.23,6.31,18.92,0,0.0,0.0,2.35,2.35,0.0,Married,employed,highSchool,White,noneFinance,renter,Low,No,40-60,1990s,0.0
75,6864,1999,0,3,46,1.53,59.53,8.89,26.66,0,0.0,0.0,115.43,217.54,102.11,Divorced,employed,highSchool,White,noneFinance,owner,Low,No,40-60,1990s,0.0
76,5973,1999,4,3,31,1.41,61.06,10.09,30.28,0,0.0,0.0,9.04,18.44,9.39,Divorced,employed,college,White,noneFinance,owner,High,No,20-40,1990s,0.0
77,307,1999,0,2,38,0.82,34.29,8.5,17.0,0,0.0,0.0,65.41,60.71,-4.7,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s,0.0
80,5748,1999,2,1,34,21.14,77.5,34.85,34.85,0,0.0,17.61,375.76,394.55,18.79,Divorced,employed,postGraduate,White,noneFinance,owner,High,No,20-40,1990s,0.0
81,2747,1999,0,4,38,0.0,3.41,5.33,21.31,0,0.0,0.0,245.18,362.61,117.42,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s,0.0
82,4580,1999,3,4,30,17.61,5.87,12.76,51.04,1,0.82,0.0,66.58,66.58,0.0,Divorced,unemployed,college,White,noneFinance,renter,High,No,20-40,1990s,0.012316010814058276
83,115,1999,1,5,30,1.88,41.33,2.97,14.87,0,0.0,0.0,-32.41,-14.8,17.61,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s,-0.0
86,5529,1999,0,4,39,5.87,56.36,9.49,37.98,1,17.61,19.96,85.72,95.11,9.39,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s,0.20543630424638357
87,5115,1999,0,4,35,1.41,44.33,7.52,30.08,0,0.0,0.0,16.67,16.67,0.0,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s,0.0
89,5220,1999,0,4,39,9.39,158.17,22.57,90.28,1,5.87,270.08,344.05,499.05,155.0,Married,employed,postGraduate,White,noneFinance,owner,High,No,20-40,1990s,0.01706147362301991
90,296,1999,0,2,57,0.02,41.1,16.27,32.54,0,0.0,0.0,-5.85,10.59,16.44,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s,-0.0
92,1606,1999,2,3,41,0.35,59.89,7.17,21.51,0,0.0,0.0,12.09,12.09,0.0,Married,employed,highSchool,White,noneFinance,owner,Low,No,40-60,1990s,0.0
93,3537,1999,0,4,39,0.0,82.2,3.99,15.94,0,0.0,0.0,-79.85,-62.23,17.61,Married,employed,highSchool,White,noneFinance,owner,Low,No,20-40,1990s,-0.0
94,2330,1999,0,2,38,0.0,1.64,10.4,20.79,1,0.23,0.0,14.33,30.77,16.44,Divorced,employed,highSchool,White,noneFinance,owner,Low,No,20-40,1990s,0.016050244242847175
95,2758,1999,0,2,37,0.82,37.83,16.88,33.76,0,0.0,0.0,12.56,133.51,120.95,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s,0.0
96,3934,1999,0,7,34,0.0,8.22,3.47,24.26,0,0.0,0.0,1.76,1.76,0.0,Widowed,employed,highSchool,White,noneFinance,renter,Low,No,20-40,1990s,0.0
97,217,1999,0,4,31,0.0,49.32,4.89,19.56,0,0.0,0.0,1.29,1.29,0.0,Separated,unemployed,highSchool,White,noneFinance,renter,Low,No,20-40,1990s,0.0
100,3333,1999,3,3,39,0.0,12.92,11.46,34.37,0,0.0,0.0,-2.35,68.11,70.45,Divorced,employed,college,White,noneFinance,owner,High,No,20-40,1990s,-0.0
101,703,1999,1,3,40,2.35,47.22,9.81,29.43,0,0.0,0.0,5.87,11.74,5.87,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s,0.0
103,6869,1999,8,4,41,0.0,0.41,5.99,23.96,0,0.0,0.0,-30.53,-30.53,0.0,Widowed,unemployed,college,White,noneFinance,renter,High,No,40-60,1990s,-0.0
106,10,1999,1,4,48,1.41,40.51,5.21,20.83,1,17.61,11.74,202.2,216.3,14.09,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s,0.0870919881305638
107,406,1999,0,5,41,7.63,67.52,6.98,34.88,0,0.0,0.0,29.12,62.0,32.88,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.0
110,266,1999,0,3,32,0.7,64.58,8.66,25.97,0,0.0,7.05,47.67,47.67,0.0,Married,employed,college,White,noneFinance,renter,High,No,20-40,1990s,0.0
111,2589,1999,0,1,36,4.11,51.67,16.28,16.28,1,1.06,0.0,9.28,9.28,0.0,neverMarried,employed,college,White,noneFinance,renter,High,No,20-40,1990s,0.1142241379310345
112,3180,1999,0,2,39,17.61,58.71,9.9,19.8,0,0.0,0.0,49.91,66.34,16.44,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s,0.0
115,3384,1999,0,1,43,11.74,39.92,35.62,35.62,1,68.14,23.48,110.65,239.81,129.17,neverMarried,employed,postGraduate,otherRace,noneFinance,owner,High,No,40-60,1990s,0.6158156348847718
118,5588,1999,1,4,42,0.7,72.8,8.65,34.59,0,0.0,0.0,35.93,58.24,22.31,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s,0.0
119,4177,1999,0,2,35,1.76,44.62,10.25,20.5,0,0.0,0.0,-22.9,-22.9,0.0,neverMarried,employed,college,White,noneFinance,renter,High,No,20-40,1990s,-0.0
120,6089,1999,1,4,33,0.01,11.74,4.69,18.77,0,0.0,0.0,-7.63,-7.63,0.0,Separated,employed,college,White,noneFinance,renter,High,No,20-40,1990s,-0.0
121,98,1999,1,4,48,35.23,76.33,15.13,60.53,0,0.0,0.0,78.67,272.42,193.75,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s,0.0
126,253,1999,0,4,46,8.22,1.76,15.43,61.7,1,46.97,23.48,307.65,342.88,35.23,Divorced,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.15267349260523322
127,2788,1999,1,5,44,4.7,48.14,5.48,27.4,0,0.0,0.0,81.02,127.99,46.97,Married,employed,highSchool,White,noneFinance,owner,Low,No,40-60,1990s,0.0
128,3813,1999,0,4,40,14.09,116.54,10.1,40.42,0,0.0,0.0,1329.24,1605.19,275.95,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s,0.0
129,3170,1999,2,3,51,27.01,76.33,57.06,171.19,1,211.36,176.14,1292.84,1474.85,182.01,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s,0.16348504068562236
131,1068,1999,0,2,44,0.59,31.7,7.3,14.59,0,0.0,0.0,1.76,1.76,0.0,Divorced,employed,college,White,noneFinance,renter,High,No,40-60,1990s,0.0
132,1190,1999,0,1,35,0.59,35.54,17.92,17.92,0,0.0,0.0,-2.35,7.05,9.39,neverMarried,employed,college,White,noneFinance,owner,High,No,20-40,1990s,-0.0
133,2073,1999,1,4,47,8.22,65.76,7.01,28.02,1,41.1,46.97,23.48,82.2,58.71,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s,0.0
135,2401,1999,0,2,60,2.35,98.64,20.22,40.45,1,11.74,0.0,288.86,442.69,153.83,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.04064252579104064
136,1232,1999,0,3,35,9.39,75.74,13.18,39.53,0,0.0,14.09,90.42,163.22,72.8,Married,employed,postGraduate,White,noneFinance,owner,High,No,20-40,1990s,0.0
137,3683,1999,0,2,60,264.2,270.08,21.47,42.93,1,939.39,75.15,3648.37,3883.22,234.85,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.2574821084484304
138,882,1999,0,4,40,11.74,112.73,8.17,32.7,1,23.48,11.74,76.33,237.2,160.87,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s,0.3076116860998297
139,2311,1999,0,1,57,17.61,43.45,11.78,11.78,1,3.52,52.84,92.77,167.95,75.19,Divorced,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.03794330063598146
140,3936,1999,0,4,40,8.22,43.96,7.6,30.42,1,27.01,0.0,39.34,122.71,83.37,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s,0.686578546009151
142,6080,1999,0,3,34,25.83,109.2,10.77,32.3,0,0.0,0.0,86.89,321.74,234.85,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s,0.0
143,659,1999,0,1,51,223.11,27.01,43.45,43.45,1,1.17,4.11,271.84,377.52,105.68,neverMarried,retired,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.004304002354326074
145,1708,1999,0,3,52,0.23,34.94,9.63,28.9,0,0.0,0.0,-37.93,-5.05,32.88,Married,unemployed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,-0.0
146,5290,1999,0,2,53,0.47,36.65,7.84,15.67,0,0.0,11.74,12.45,47.67,35.23,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.0
148,6327,1999,2,1,53,2.35,50.49,17.73,17.73,0,0.0,0.0,131.34,215.88,84.55,Divorced,employed,college,Black,noneFinance,owner,High,No,40-60,1990s,0.0
149,172,1999,0,1,57,4.11,37.58,7.42,7.42,0,0.0,0.0,2.94,91.0,88.07,Divorced,employed,college,Black,noneFinance,owner,High,No,40-60,1990s,0.0
150,5327,1999,0,2,40,0.47,58.71,14.83,29.67,0,0.0,0.0,-12.45,-12.45,0.0,Divorced,employed,highSchool,Black,noneFinance,renter,Low,No,20-40,1990s,-0.0
155,61,1999,0,3,56,46.97,44.86,11.18,33.54,0,0.0,46.97,183.18,277.12,93.94,Married,unemployed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.0
157,6106,1999,1,5,43,2.35,56.95,4.59,22.95,0,0.0,23.48,29.47,102.28,72.8,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s,0.0
158,1205,1999,0,4,51,14.09,109.2,11.3,45.2,1,2.35,0.0,479.09,629.39,150.3,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.004905132647310527
159,4110,1999,0,1,53,54.02,51.67,22.9,22.9,0,0.0,164.39,240.72,271.25,30.53,Divorced,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.0
160,3358,1999,1,3,31,5.87,58.71,9.86,29.58,1,14.09,0.0,22.31,50.49,28.18,Married,employed,postGraduate,White,noneFinance,owner,High,No,20-40,1990s,0.6315553563424474
161,2915,1999,1,6,59,0.0,31.7,3.97,23.82,0,0.0,0.0,0.0,88.07,88.07,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s,0.0
163,3243,1999,0,3,44,2.94,70.45,9.79,29.38,1,111.55,35.23,189.05,441.52,252.46,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.5900555408622057
164,2721,1999,0,4,41,1.76,115.08,10.13,40.52,0,0.0,17.14,18.91,48.26,29.36,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.0
165,3785,1999,0,5,40,5.87,271.25,11.53,57.64,1,205.49,0.0,266.55,331.14,64.58,Married,employed,postGraduate,White,noneFinance,owner,High,No,20-40,1990s,0.7709247795910711
166,5005,1999,1,6,32,1.17,103.69,7.85,47.12,0,0.0,0.0,4.7,4.7,0.0,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s,0.0
170,41,1999,1,2,50,0.47,104.39,19.39,38.79,0,0.0,0.0,8.45,37.81,29.36,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s,0.0
171,1189,1999,1,3,46,4.7,106.86,19.05,57.16,0,0.0,0.0,-24.66,-10.57,14.09,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s,-0.0
173,2117,1999,0,1,38,35.23,82.78,25.21,25.21,0,0.0,50.49,156.17,245.42,89.24,Divorced,employed,college,White,noneFinance,owner,High,No,20-40,1990s,0.0
174,823,1999,0,4,37,35.23,105.68,14.02,56.07,0,0.0,7.05,42.27,112.73,70.45,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s,0.0
175,2203,1999,0,1,36,7.05,23.25,11.98,11.98,0,0.0,0.0,36.4,77.5,41.1,neverMarried,employed,college,White,noneFinance,owner,High,No,20-40,1990s,0.0
176,1421,1999,4,2,32,23.48,108.62,15.76,31.51,0,0.0,0.0,41.1,99.81,58.71,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s,0.0
177,553,1999,0,1,45,0.0,0.0,10.29,10.29,0,0.0,0.0,1.0,1.0,0.0,Separated,unemployed,highSchool,White,noneFinance,renter,Low,No,40-60,1990s,0.0
178,913,1999,1,1,40,0.0,0.0,6.54,6.54,0,0.0,0.0,0.0,0.0,0.0,Divorced,unemployed,highSchool,White,noneFinance,renter,Low,No,20-40,1990s,0.0
182,4477,1999,0,1,30,0.0,32.88,10.55,10.55,0,0.0,0.0,10.57,10.57,0.0,neverMarried,employed,highSchool,White,noneFinance,renter,Low,No,20-40,1990s,0.0
184,2565,1999,0,5,48,5.87,59.05,5.07,25.37,0,0.0,0.0,96.29,96.29,0.0,Married,employed,college,Black,noneFinance,renter,High,No,40-60,1990s,0.0
186,5012,1999,0,1,41,2.82,2.35,16.96,16.96,0,0.0,0.0,-8.92,-8.92,0.0,neverMarried,employed,postGraduate,Black,noneFinance,renter,High,No,40-60,1990s,-0.0
189,6893,1999,4,2,49,205.49,58.71,12.58,25.16,1,211.36,0.0,547.67,712.06,164.39,Divorced,employed,college,White,noneFinance,owner,High,No,40-60,1990s,0.38592583124874474
190,277,1999,0,1,32,14.09,82.2,27.57,27.57,1,23.48,0.0,41.1,90.42,49.32,neverMarried,employed,postGraduate,White,noneFinance,owner,High,No,20-40,1990s,0.5712895377128954
192,1385,1999,0,4,37,1.76,71.51,9.04,36.18,1,11.74,0.0,18.79,18.79,0.0,Married,employed,postGraduate,White,noneFinance,renter,High,No,20-40,1990s,0.6248004257583821
195,3134,1999,1,3,52,29.36,242.83,39.06,117.19,1,111.55,1.17,236.02,623.52,387.5,Married,unemployed,postGraduate,White,finance,owner,High,Yes,40-60,1990s,0.4726294381832048
196,6800,1999,1,3,42,5.87,76.8,14.67,44.01,1,117.42,0.0,258.33,399.24,140.91,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s,0.45453489722448037
197,1554,1999,0,1,59,0.0,16.77,9.95,9.95,0,0.0,8.22,8.57,8.57,0.0,Widowed,employed,highSchool,Black,noneFinance,renter,Low,No,40-60,1990s,0.0
198,2570,1999,0,3,55,3.52,52.84,9.07,27.22,0,0.0,0.0,49.55,196.33,146.78,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s,0.0
199,3002,1999,0,2,30,5.87,93.94,18.81,37.62,0,0.0,0.0,123.3,162.05,38.75,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s,0.0
203,262,1999,0,2,52,29.36,58.71,17.44,34.89,1,1056.82,352.27,1479.55,1878.79,399.24,Married,retired,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.7142847487411713
205,2683,1999,0,4,47,5.87,86.89,17.71,70.83,1,23.48,43.45,55.19,132.69,77.5,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.42543939119405694
206,3894,1999,1,4,49,1.17,14.09,12.74,50.98,1,82.2,0.0,97.46,259.04,161.58,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.8434229427457419
208,934,1999,1,6,46,11.74,37.58,2.23,13.38,1,2.35,1.76,20.55,38.87,18.32,Married,employed,highSchool,White,noneFinance,owner,Low,No,40-60,1990s,0.11435523114355231
209,2562,1999,0,5,43,11.74,31.7,5.55,27.77,0,0.0,0.0,199.62,302.95,103.33,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.0
210,2426,1999,0,5,42,0.23,35.23,4.65,23.23,0,0.0,0.0,23.72,94.17,70.45,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s,0.0
212,651,1999,0,5,45,11.74,51.61,6.49,32.45,0,0.0,0.59,83.61,142.32,58.71,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.0
213,5176,1999,0,5,41,29.36,111.55,17.09,85.46,0,0.0,0.0,5.87,11.74,5.87,Married,unemployed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.0
214,515,1999,1,3,53,0.0,123.3,14.38,43.14,0,0.0,204.32,216.06,319.39,103.33,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.0
215,514,1999,0,4,56,5.28,19.96,5.29,21.18,0,0.0,0.0,20.55,76.91,56.36,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.0
216,6365,1999,0,3,36,29.36,134.73,14.11,42.33,0,0.0,0.0,46.97,93.94,46.97,neverMarried,employed,postGraduate,Asian,noneFinance,owner,High,No,20-40,1990s,0.0
217,203,1999,0,2,52,23.48,115.08,20.09,40.18,1,70.45,293.56,469.7,469.7,0.0,Married,employed,postGraduate,White,finance,renter,High,Yes,40-60,1990s,0.1499893549073877
218,2925,1999,0,1,47,7.4,35.23,22.29,22.29,0,0.0,0.0,19.14,19.14,0.0,Separated,employed,college,otherRace,noneFinance,renter,High,No,40-60,1990s,0.0
219,2621,1999,0,4,38,0.0,24.66,12.04,48.15,0,0.0,0.0,3.52,3.52,0.0,Separated,employed,highSchool,White,noneFinance,renter,Low,No,20-40,1990s,0.0
220,1764,1999,0,4,41,3.52,64.29,7.49,29.97,0,0.0,0.0,5.87,116.25,110.38,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s,0.0
221,5450,1999,0,1,56,31.7,24.19,13.92,13.92,0,0.0,0.0,33.94,33.94,0.0,Divorced,employed,postGraduate,White,noneFinance,renter,High,No,40-60,1990s,0.0
222,1925,1999,0,2,53,7.05,76.33,20.99,41.99,0,0.0,0.0,185.53,274.77,89.24,Divorced,employed,college,White,noneFinance,owner,High,No,40-60,1990s,0.0
225,430,1999,0,3,37,5.87,62.23,10.16,30.48,0,0.0,0.0,41.1,118.6,77.5,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s,0.0
226,766,1999,0,2,52,27.01,30.3,30.32,60.64,1,35.23,29.36,270.08,334.66,64.58,Married,employed,highSchool,White,noneFinance,owner,Low,No,40-60,1990s,0.1304428317535545
227,2564,1999,1,2,39,1.17,23.48,6.58,13.16,0,0.0,0.0,7.05,7.05,0.0,neverMarried,employed,highSchool,White,noneFinance,renter,Low,No,20-40,1990s,0.0
229,2477,1999,0,4,42,6.46,78.56,13.17,52.7,1,675.19,0.0,711.0,803.77,92.77,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s,0.949634317862166
230,4665,1999,0,4,49,7.05,140.91,14.93,59.71,1,7.63,35.23,81.61,234.26,152.65,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.09349344443082956
231,3817,1999,0,2,59,64.58,124.94,26.85,53.7,1,23.48,1291.67,1906.97,2117.69,210.72,Married,retired,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.012312726471837522
