,Unnamed: 0,familyID,year,composition,headCount,ageHead,liquidWealth,laborIncome,costPerPerson,totalExpense,participation,investmentAmount,annuityIRA,wealthWithoutHomeEquity,wealthWithHomeEquity,HomeEquity,maritalStatus,employmentStatus,education,race,industry,ownership,skillLevel,financeExperience,ageGroup,decadeGroup
52,55,3397,1999,1,2,52,7.05,42.98,17.25,34.5,0,0.0,9.39,29.12,123.06,93.94,Married,unemployed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
53,56,5431,1999,0,2,53,5.87,76.33,17.56,35.13,0,0.0,0.0,109.2,162.05,52.84,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
54,57,1019,1999,0,2,53,46.97,9.98,5.97,11.93,1,117.42,35.23,701.02,806.7,105.68,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
55,58,6120,1999,3,1,32,1.17,57.27,18.69,18.69,0,0.0,0.0,3.52,3.52,0.0,Divorced,employed,college,White,noneFinance,renter,High,No,20-40,1990s
58,62,5428,1999,0,5,38,1.76,72.8,5.79,28.95,0,0.0,0.0,2.35,38.75,36.4,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s
59,63,962,1999,0,1,36,0.0,51.67,32.84,32.84,0,0.0,2.35,8.22,9.39,1.17,Separated,employed,college,White,noneFinance,owner,High,No,20-40,1990s
60,64,854,1999,1,5,37,0.0,21.72,5.81,29.04,0,0.0,0.0,7.05,30.53,23.48,Divorced,employed,highSchool,White,noneFinance,owner,Low,No,20-40,1990s
64,68,1329,1999,0,4,43,1.41,49.32,12.49,49.96,0,0.0,10.57,20.78,13.74,-7.05,Married,unemployed,highSchool,White,noneFinance,owner,Low,No,40-60,1990s
66,70,2478,1999,0,4,38,0.47,42.58,9.48,37.91,0,0.0,0.0,1.88,19.49,17.61,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s
67,71,2648,1999,0,4,39,0.0,0.0,2.37,9.5,0,0.0,0.0,3.52,3.52,0.0,Married,retired,highSchool,White,noneFinance,renter,Low,No,20-40,1990s
69,73,219,1999,1,2,43,0.05,27.7,13.12,26.24,0,0.0,0.0,6.21,-50.15,-56.36,Married,unemployed,highSchool,White,noneFinance,owner,Low,No,40-60,1990s
70,74,375,1999,0,3,44,0.0,26.23,6.31,18.92,0,0.0,0.0,2.35,2.35,0.0,Married,employed,highSchool,White,noneFinance,renter,Low,No,40-60,1990s
71,75,6864,1999,0,3,46,1.53,59.53,8.89,26.66,0,0.0,0.0,115.43,217.54,102.11,Divorced,employed,highSchool,White,noneFinance,owner,Low,No,40-60,1990s
72,76,5973,1999,4,3,31,1.41,61.06,10.09,30.28,0,0.0,0.0,9.04,18.44,9.39,Divorced,employed,college,White,noneFinance,owner,High,No,20-40,1990s
73,77,307,1999,0,2,38,0.82,34.29,8.5,17.0,0,0.0,0.0,65.41,60.71,-4.7,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s
75,80,5748,1999,2,1,34,21.14,77.5,34.85,34.85,0,0.0,17.61,375.76,394.55,18.79,Divorced,employed,postGraduate,White,noneFinance,owner,High,No,20-40,1990s
76,81,2747,1999,0,4,38,0.0,3.41,5.33,21.31,0,0.0,0.0,245.18,362.61,117.42,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s
77,82,4580,1999,3,4,30,17.61,5.87,12.76,51.04,1,0.82,0.0,66.58,66.58,0.0,Divorced,unemployed,college,White,noneFinance,renter,High,No,20-40,1990s
78,83,115,1999,1,5,30,1.88,41.33,2.97,14.87,0,0.0,0.0,-32.41,-14.8,17.61,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s
81,86,5529,1999,0,4,39,5.87,56.36,9.49,37.98,1,17.61,19.96,85.72,95.11,9.39,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s
82,87,5115,1999,0,4,35,1.41,44.33,7.52,30.08,0,0.0,0.0,16.67,16.67,0.0,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s
84,89,5220,1999,0,4,39,9.39,158.17,22.57,90.28,1,5.87,270.08,344.05,499.05,155.0,Married,employed,postGraduate,White,noneFinance,owner,High,No,20-40,1990s
85,90,296,1999,0,2,57,0.02,41.1,16.27,32.54,0,0.0,0.0,-5.85,10.59,16.44,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s
87,92,1606,1999,2,3,41,0.35,59.89,7.17,21.51,0,0.0,0.0,12.09,12.09,0.0,Married,employed,highSchool,White,noneFinance,owner,Low,No,40-60,1990s
88,93,3537,1999,0,4,39,0.0,82.2,3.99,15.94,0,0.0,0.0,-79.85,-62.23,17.61,Married,employed,highSchool,White,noneFinance,owner,Low,No,20-40,1990s
89,94,2330,1999,0,2,38,0.0,1.64,10.4,20.79,1,0.23,0.0,14.33,30.77,16.44,Divorced,employed,highSchool,White,noneFinance,owner,Low,No,20-40,1990s
90,95,2758,1999,0,2,37,0.82,37.83,16.88,33.76,0,0.0,0.0,12.56,133.51,120.95,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s
91,96,3934,1999,0,7,34,0.0,8.22,3.47,24.26,0,0.0,0.0,1.76,1.76,0.0,Widowed,employed,highSchool,White,noneFinance,renter,Low,No,20-40,1990s
92,97,217,1999,0,4,31,0.0,49.32,4.89,19.56,0,0.0,0.0,1.29,1.29,0.0,Separated,unemployed,highSchool,White,noneFinance,renter,Low,No,20-40,1990s
94,100,3333,1999,3,3,39,0.0,12.92,11.46,34.37,0,0.0,0.0,-2.35,68.11,70.45,Divorced,employed,college,White,noneFinance,owner,High,No,20-40,1990s
95,101,703,1999,1,3,40,2.35,47.22,9.81,29.43,0,0.0,0.0,5.87,11.74,5.87,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s
97,103,6869,1999,8,4,41,0.0,0.41,5.99,23.96,0,0.0,0.0,-30.53,-30.53,0.0,Widowed,unemployed,college,White,noneFinance,renter,High,No,40-60,1990s
100,106,10,1999,1,4,48,1.41,40.51,5.21,20.83,1,17.61,11.74,202.2,216.3,14.09,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s
101,107,406,1999,0,5,41,7.63,67.52,6.98,34.88,0,0.0,0.0,29.12,62.0,32.88,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
103,110,266,1999,0,3,32,0.7,64.58,8.66,25.97,0,0.0,7.05,47.67,47.67,0.0,Married,employed,college,White,noneFinance,renter,High,No,20-40,1990s
104,111,2589,1999,0,1,36,4.11,51.67,16.28,16.28,1,1.06,0.0,9.28,9.28,0.0,neverMarried,employed,college,White,noneFinance,renter,High,No,20-40,1990s
105,112,3180,1999,0,2,39,17.61,58.71,9.9,19.8,0,0.0,0.0,49.91,66.34,16.44,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s
107,115,3384,1999,0,1,43,11.74,39.92,35.62,35.62,1,68.14,23.48,110.65,239.81,129.17,neverMarried,employed,postGraduate,otherRace,noneFinance,owner,High,No,40-60,1990s
110,118,5588,1999,1,4,42,0.7,72.8,8.65,34.59,0,0.0,0.0,35.93,58.24,22.31,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s
111,119,4177,1999,0,2,35,1.76,44.62,10.25,20.5,0,0.0,0.0,-22.9,-22.9,0.0,neverMarried,employed,college,White,noneFinance,renter,High,No,20-40,1990s
112,120,6089,1999,1,4,33,0.01,11.74,4.69,18.77,0,0.0,0.0,-7.63,-7.63,0.0,Separated,employed,college,White,noneFinance,renter,High,No,20-40,1990s
113,121,98,1999,1,4,48,35.23,76.33,15.13,60.53,0,0.0,0.0,78.67,272.42,193.75,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s
116,126,253,1999,0,4,46,8.22,1.76,15.43,61.7,1,46.97,23.48,307.65,342.88,35.23,Divorced,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
117,127,2788,1999,1,5,44,4.7,48.14,5.48,27.4,0,0.0,0.0,81.02,127.99,46.97,Married,employed,highSchool,White,noneFinance,owner,Low,No,40-60,1990s
119,131,1068,1999,0,2,44,0.59,31.7,7.3,14.59,0,0.0,0.0,1.76,1.76,0.0,Divorced,employed,college,White,noneFinance,renter,High,No,40-60,1990s
120,132,1190,1999,0,1,35,0.59,35.54,17.92,17.92,0,0.0,0.0,-2.35,7.05,9.39,neverMarried,employed,college,White,noneFinance,owner,High,No,20-40,1990s
121,133,2073,1999,1,4,47,8.22,65.76,7.01,28.02,1,41.1,46.97,23.48,82.2,58.71,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s
123,135,2401,1999,0,2,60,2.35,98.64,20.22,40.45,1,11.74,0.0,288.86,442.69,153.83,Married,employed,postGraduate,White,noneFinance,owner,High,No,60-80,1990s
124,136,1232,1999,0,3,35,9.39,75.74,13.18,39.53,0,0.0,14.09,90.42,163.22,72.8,Married,employed,postGraduate,White,noneFinance,owner,High,No,20-40,1990s
125,138,882,1999,0,4,40,11.74,112.73,8.17,32.7,1,23.48,11.74,76.33,237.2,160.87,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s
126,139,2311,1999,0,1,57,17.61,43.45,11.78,11.78,1,3.52,52.84,92.77,167.95,75.19,Divorced,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
127,140,3936,1999,0,4,40,8.22,43.96,7.6,30.42,1,27.01,0.0,39.34,122.71,83.37,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s
129,142,6080,1999,0,3,34,25.83,109.2,10.77,32.3,0,0.0,0.0,86.89,321.74,234.85,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s
130,143,659,1999,0,1,51,223.11,27.01,43.45,43.45,1,1.17,4.11,271.84,377.52,105.68,neverMarried,retired,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
132,145,1708,1999,0,3,52,0.23,34.94,9.63,28.9,0,0.0,0.0,-37.93,-5.05,32.88,Married,unemployed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
133,146,5290,1999,0,2,53,0.47,36.65,7.84,15.67,0,0.0,11.74,12.45,47.67,35.23,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
135,148,6327,1999,2,1,53,2.35,50.49,17.73,17.73,0,0.0,0.0,131.34,215.88,84.55,Divorced,employed,college,Black,noneFinance,owner,High,No,40-60,1990s
136,149,172,1999,0,1,57,4.11,37.58,7.42,7.42,0,0.0,0.0,2.94,91.0,88.07,Divorced,employed,college,Black,noneFinance,owner,High,No,40-60,1990s
137,150,5327,1999,0,2,40,0.47,58.71,14.83,29.67,0,0.0,0.0,-12.45,-12.45,0.0,Divorced,employed,highSchool,Black,noneFinance,renter,Low,No,40-60,1990s
142,155,61,1999,0,3,56,46.97,44.86,11.18,33.54,0,0.0,46.97,183.18,277.12,93.94,Married,unemployed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
144,157,6106,1999,1,5,43,2.35,56.95,4.59,22.95,0,0.0,23.48,29.47,102.28,72.8,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s
145,158,1205,1999,0,4,51,14.09,109.2,11.3,45.2,1,2.35,0.0,479.09,629.39,150.3,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
146,159,4110,1999,0,1,53,54.02,51.67,22.9,22.9,0,0.0,164.39,240.72,271.25,30.53,Divorced,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
147,160,3358,1999,1,3,31,5.87,58.71,9.86,29.58,1,14.09,0.0,22.31,50.49,28.18,Married,employed,postGraduate,White,noneFinance,owner,High,No,20-40,1990s
148,161,2915,1999,1,6,59,0.0,31.7,3.97,23.82,0,0.0,0.0,0.0,88.07,88.07,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s
149,163,3243,1999,0,3,44,2.94,70.45,9.79,29.38,1,111.55,35.23,189.05,441.52,252.46,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
150,164,2721,1999,0,4,41,1.76,115.08,10.13,40.52,0,0.0,17.14,18.91,48.26,29.36,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
151,166,5005,1999,1,6,32,1.17,103.69,7.85,47.12,0,0.0,0.0,4.7,4.7,0.0,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s
154,170,41,1999,1,2,50,0.47,104.39,19.39,38.79,0,0.0,0.0,8.45,37.81,29.36,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s
155,171,1189,1999,1,3,46,4.7,106.86,19.05,57.16,0,0.0,0.0,-24.66,-10.57,14.09,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s
157,173,2117,1999,0,1,38,35.23,82.78,25.21,25.21,0,0.0,50.49,156.17,245.42,89.24,Divorced,employed,college,White,noneFinance,owner,High,No,20-40,1990s
158,174,823,1999,0,4,37,35.23,105.68,14.02,56.07,0,0.0,7.05,42.27,112.73,70.45,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s
159,175,2203,1999,0,1,36,7.05,23.25,11.98,11.98,0,0.0,0.0,36.4,77.5,41.1,neverMarried,employed,college,White,noneFinance,owner,High,No,20-40,1990s
160,176,1421,1999,4,2,32,23.48,108.62,15.76,31.51,0,0.0,0.0,41.1,99.81,58.71,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s
161,177,553,1999,0,1,45,0.0,0.0,10.29,10.29,0,0.0,0.0,1.0,1.0,0.0,Separated,unemployed,highSchool,White,noneFinance,renter,Low,No,40-60,1990s
162,178,913,1999,1,1,40,0.0,0.0,6.54,6.54,0,0.0,0.0,0.0,0.0,0.0,Divorced,unemployed,highSchool,White,noneFinance,renter,Low,No,40-60,1990s
165,182,4477,1999,0,1,30,0.0,32.88,10.55,10.55,0,0.0,0.0,10.57,10.57,0.0,neverMarried,employed,highSchool,White,noneFinance,renter,Low,No,20-40,1990s
167,184,2565,1999,0,5,48,5.87,59.05,5.07,25.37,0,0.0,0.0,96.29,96.29,0.0,Married,employed,college,Black,noneFinance,renter,High,No,40-60,1990s
169,186,5012,1999,0,1,41,2.82,2.35,16.96,16.96,0,0.0,0.0,-8.92,-8.92,0.0,neverMarried,employed,postGraduate,Black,noneFinance,renter,High,No,40-60,1990s
172,189,6893,1999,4,2,49,205.49,58.71,12.58,25.16,1,211.36,0.0,547.67,712.06,164.39,Divorced,employed,college,White,noneFinance,owner,High,No,40-60,1990s
173,190,277,1999,0,1,32,14.09,82.2,27.57,27.57,1,23.48,0.0,41.1,90.42,49.32,neverMarried,employed,postGraduate,White,noneFinance,owner,High,No,20-40,1990s
175,192,1385,1999,0,4,37,1.76,71.51,9.04,36.18,1,11.74,0.0,18.79,18.79,0.0,Married,employed,postGraduate,White,noneFinance,renter,High,No,20-40,1990s
177,196,6800,1999,1,3,42,5.87,76.8,14.67,44.01,1,117.42,0.0,258.33,399.24,140.91,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s
178,197,1554,1999,0,1,59,0.0,16.77,9.95,9.95,0,0.0,8.22,8.57,8.57,0.0,Widowed,employed,highSchool,Black,noneFinance,renter,Low,No,40-60,1990s
179,198,2570,1999,0,3,55,3.52,52.84,9.07,27.22,0,0.0,0.0,49.55,196.33,146.78,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s
180,199,3002,1999,0,2,30,5.87,93.94,18.81,37.62,0,0.0,0.0,123.3,162.05,38.75,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s
185,205,2683,1999,0,4,47,5.87,86.89,17.71,70.83,1,23.48,43.45,55.19,132.69,77.5,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
186,206,3894,1999,1,4,49,1.17,14.09,12.74,50.98,1,82.2,0.0,97.46,259.04,161.58,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
188,208,934,1999,1,6,46,11.74,37.58,2.23,13.38,1,2.35,1.76,20.55,38.87,18.32,Married,employed,highSchool,White,noneFinance,owner,Low,No,40-60,1990s
189,209,2562,1999,0,5,43,11.74,31.7,5.55,27.77,0,0.0,0.0,199.62,302.95,103.33,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
190,210,2426,1999,0,5,42,0.23,35.23,4.65,23.23,0,0.0,0.0,23.72,94.17,70.45,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s
192,212,651,1999,0,5,45,11.74,51.61,6.49,32.45,0,0.0,0.59,83.61,142.32,58.71,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
193,213,5176,1999,0,5,41,29.36,111.55,17.09,85.46,0,0.0,0.0,5.87,11.74,5.87,Married,unemployed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
194,214,515,1999,1,3,53,0.0,123.3,14.38,43.14,0,0.0,204.32,216.06,319.39,103.33,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
195,215,514,1999,0,4,56,5.28,19.96,5.29,21.18,0,0.0,0.0,20.55,76.91,56.36,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
196,216,6365,1999,0,3,36,29.36,134.73,14.11,42.33,0,0.0,0.0,46.97,93.94,46.97,neverMarried,employed,postGraduate,Asian,noneFinance,owner,High,No,20-40,1990s
197,217,203,1999,0,2,52,23.48,115.08,20.09,40.18,1,70.45,293.56,469.7,469.7,0.0,Married,employed,postGraduate,White,finance,renter,High,Yes,40-60,1990s
198,218,2925,1999,0,1,47,7.4,35.23,22.29,22.29,0,0.0,0.0,19.14,19.14,0.0,Separated,employed,college,otherRace,noneFinance,renter,High,No,40-60,1990s
199,219,2621,1999,0,4,38,0.0,24.66,12.04,48.15,0,0.0,0.0,3.52,3.52,0.0,Separated,employed,highSchool,White,noneFinance,renter,Low,No,20-40,1990s
200,220,1764,1999,0,4,41,3.52,64.29,7.49,29.97,0,0.0,0.0,5.87,116.25,110.38,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s
201,221,5450,1999,0,1,56,31.7,24.19,13.92,13.92,0,0.0,0.0,33.94,33.94,0.0,Divorced,employed,postGraduate,White,noneFinance,renter,High,No,40-60,1990s
202,222,1925,1999,0,2,53,7.05,76.33,20.99,41.99,0,0.0,0.0,185.53,274.77,89.24,Divorced,employed,college,White,noneFinance,owner,High,No,40-60,1990s
205,225,430,1999,0,3,37,5.87,62.23,10.16,30.48,0,0.0,0.0,41.1,118.6,77.5,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s
206,226,766,1999,0,2,52,27.01,30.3,30.32,60.64,1,35.23,29.36,270.08,334.66,64.58,Married,employed,highSchool,White,noneFinance,owner,Low,No,40-60,1990s
207,227,2564,1999,1,2,39,1.17,23.48,6.58,13.16,0,0.0,0.0,7.05,7.05,0.0,neverMarried,employed,highSchool,White,noneFinance,renter,Low,No,20-40,1990s
209,230,4665,1999,0,4,49,7.05,140.91,14.93,59.71,1,7.63,35.23,81.61,234.26,152.65,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
210,232,6215,1999,0,1,38,4.7,56.36,27.7,27.7,1,41.1,11.74,53.43,53.43,0.0,Divorced,employed,postGraduate,White,noneFinance,renter,High,No,20-40,1990s
211,233,5603,1999,1,5,33,1.17,157.35,8.62,43.09,0,0.0,0.0,30.53,70.45,39.92,Married,employed,postGraduate,White,noneFinance,owner,High,No,20-40,1990s
212,234,5644,1999,0,7,50,0.0,15.73,4.03,28.22,0,0.0,8.22,11.74,364.02,352.27,Married,unemployed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
213,235,3133,1999,0,4,50,11.74,156.17,20.71,82.84,1,14.09,11.74,42.27,130.34,88.07,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
216,238,2308,1999,1,5,41,0.0,0.0,1.69,8.45,0,0.0,0.0,2.94,2.94,0.0,Divorced,unemployed,college,White,noneFinance,renter,High,No,40-60,1990s
217,239,4745,1999,0,3,40,35.23,46.97,10.57,31.71,1,352.27,29.36,432.12,666.97,234.85,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
218,240,2923,1999,1,3,37,58.71,107.44,15.12,45.36,1,117.42,88.07,398.07,480.27,82.2,Married,employed,postGraduate,White,noneFinance,owner,High,No,20-40,1990s
219,241,2309,1999,1,3,45,5.87,108.03,15.86,47.59,0,0.0,0.0,76.33,92.18,15.85,Married,employed,highSchool,White,noneFinance,owner,Low,No,40-60,1990s
220,243,1092,1999,0,3,45,35.23,167.92,28.62,85.85,1,117.42,32.88,185.18,265.03,79.85,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
221,244,4002,1999,1,6,39,28.18,107.27,10.61,63.67,1,72.8,156.17,273.83,462.89,189.05,Married,employed,postGraduate,White,finance,owner,High,Yes,20-40,1990s
222,246,3008,1999,0,2,47,1.17,29.36,8.84,17.68,0,0.0,117.42,245.42,308.83,63.41,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
223,247,3089,1999,0,2,42,0.94,17.61,11.91,23.83,0,0.0,19.96,25.6,98.4,72.8,Divorced,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
224,249,3949,1999,0,2,58,17.61,102.16,15.04,30.09,1,16.44,234.85,302.72,449.5,146.78,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
225,250,6624,1999,0,2,32,4.11,36.4,34.61,69.22,1,9.39,41.1,113.31,219.0,105.68,Married,employed,postGraduate,White,noneFinance,owner,High,No,20-40,1990s
228,254,5994,1999,0,1,45,0.59,46.97,9.33,9.33,0,0.0,0.0,8.22,8.22,0.0,Divorced,employed,college,AmericanIndian,noneFinance,renter,High,No,40-60,1990s
229,255,2965,1999,0,1,54,0.59,0.0,37.46,37.46,0,0.0,0.0,-115.66,-21.72,93.94,neverMarried,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
